CountyName,MunicipalityName,ReportingUnitText,Congressional,SenateDistrict,AssemblyDistrict,MITT ROMNEY/PAUL RYAN,BARACK OBAMA/JOE BIDEN,VIRGIL GOODE/JIM CLYMER,GARY JOHNSON/JAMES P. GRAY,"GLORIA LA RIVA/FILBERTO RAMIREZ, JR.",JERRY WHITE/PHYLLIS SCHERRER,JILL STEIN/BEN MANSKI,ROSS C. ROCKY ANDERSON/LUIS J. RODRIGUEZ (WRITE-IN),ROSEANNE BARR/CINDY LEE SHEEHAN (WRITE IN),Scattering
ADAMS ,CITY OF ADAMS,CITY OF ADAMS WARDS 1-4,Congressional - District 3,State Senate - District 14,Assembly - District 41,298,497,1,1,0,1,0,0,0,0
ADAMS ,CITY OF WISCONSIN DELLS,CITY OF WISCONSIN DELLS WARDS 5 & 9,Congressional - District 3,State Senate - District 14,Assembly - District 41,10,5,0,0,0,0,0,0,0,0
ADAMS ,TOWN OF ADAMS,TOWN OF ADAMS Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,270,357,3,5,0,1,1,0,0,2
ADAMS ,TOWN OF BIG FLATS,TOWN OF BIG FLATS WARDS 1 & 2,Congressional - District 3,State Senate - District 24,Assembly - District 72,209,282,0,5,0,1,0,0,0,0
ADAMS ,TOWN OF COLBURN,TOWN OF COLBURN WARD 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,58,63,0,2,0,1,0,0,0,0
ADAMS ,TOWN OF DELL PRAIRIE,TOWN OF DELL PRAIRIE WARDS 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,411,429,2,3,0,0,0,0,0,0
ADAMS ,TOWN OF EASTON,TOWN OF EASTON WARDS 1 & 2,Congressional - District 3,State Senate - District 14,Assembly - District 41,237,270,1,4,0,0,0,0,0,0
ADAMS ,TOWN OF JACKSON,TOWN OF JACKSON WARDS 1 & 2,Congressional - District 3,State Senate - District 14,Assembly - District 41,253,310,0,4,0,0,0,0,0,0
ADAMS ,TOWN OF LEOLA,TOWN OF LEOLA WARD 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,102,50,1,0,1,0,0,0,0,0
ADAMS ,TOWN OF LINCOLN,TOWN OF LINCOLN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,80,84,2,0,0,0,0,0,0,0
ADAMS ,TOWN OF MONROE,TOWN OF MONROE WARD 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,126,135,0,2,0,0,0,0,0,0
ADAMS ,TOWN OF NEW CHESTER,TOWN OF NEW CHESTER WARD 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,160,266,0,1,1,0,0,0,0,0
ADAMS ,TOWN OF NEW HAVEN,TOWN OF NEW HAVEN WARD 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,152,207,1,8,0,0,1,0,0,2
ADAMS ,TOWN OF PRESTON,TOWN OF PRESTON WARDS 1 & 2,Congressional - District 3,State Senate - District 24,Assembly - District 72,285,392,2,2,0,0,1,0,0,3
ADAMS ,TOWN OF QUINCY,TOWN OF QUINCY WARDS 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,253,497,1,1,0,1,0,0,0,2
ADAMS ,TOWN OF RICHFIELD,TOWN OF RICHFIELD WARD 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,42,44,0,2,0,0,0,0,0,0
ADAMS ,TOWN OF ROME,TOWN OF ROME Wards 1-5,Congressional - District 3,State Senate - District 24,Assembly - District 72,1025,826,1,3,1,0,3,0,0,1
ADAMS ,TOWN OF SPRINGVILLE,TOWN OF SPRINGVILLE WARDS 1 & 2,Congressional - District 3,State Senate - District 14,Assembly - District 41,284,313,0,5,0,0,1,0,0,0
ADAMS ,TOWN OF STRONGS PRAIRIE,TOWN OF STRONGS PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 24,Assembly - District 72,280,330,1,3,0,0,3,0,0,2
ADAMS ,VILLAGE OF FRIENDSHIP,VILLAGE OF FRIENDSHIP WARD 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,109,185,0,0,0,0,0,0,2,2
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,218,231,0,0,0,0,1,0,0,0
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 10,Congressional - District 7,State Senate - District 25,Assembly - District 74,99,249,1,1,0,0,0,0,0,3
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 11,Congressional - District 7,State Senate - District 25,Assembly - District 74,106,286,1,0,0,0,0,0,0,1
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,84,216,0,0,1,0,2,0,0,3
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 3,Congressional - District 7,State Senate - District 25,Assembly - District 74,100,213,0,6,0,0,2,0,0,0
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,171,278,0,1,1,0,1,0,0,1
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 5,Congressional - District 7,State Senate - District 25,Assembly - District 74,110,289,0,1,0,0,0,0,0,1
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 6,Congressional - District 7,State Senate - District 25,Assembly - District 74,85,222,0,5,0,0,2,0,0,0
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 7,Congressional - District 7,State Senate - District 25,Assembly - District 74,94,288,0,9,1,1,14,2,0,3
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 8,Congressional - District 7,State Senate - District 25,Assembly - District 74,111,228,0,2,0,0,3,0,0,1
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND WARD 9,Congressional - District 7,State Senate - District 25,Assembly - District 74,62,241,0,4,0,0,2,0,0,1
ASHLAND ,CITY OF MELLEN,CITY OF MELLEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,105,230,3,4,0,1,3,0,0,0
ASHLAND ,TOWN OF AGENDA,TOWN OF AGENDA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,136,101,0,1,0,0,0,0,0,1
ASHLAND ,TOWN OF ASHLAND,TOWN OF ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,105,211,4,2,0,0,6,0,0,0
ASHLAND ,TOWN OF CHIPPEWA,TOWN OF CHIPPEWA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,111,105,1,3,0,0,2,0,0,1
ASHLAND ,TOWN OF GINGLES,TOWN OF GINGLES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,143,276,2,1,0,0,5,0,0,0
ASHLAND ,TOWN OF GORDON,TOWN OF GORDON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,82,100,0,0,0,0,1,0,0,0
ASHLAND ,TOWN OF JACOBS,TOWN OF JACOBS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,156,216,0,1,1,1,2,0,0,0
ASHLAND ,TOWN OF LA POINTE,TOWN OF LA POINTE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,51,209,1,3,0,0,3,0,0,0
ASHLAND ,TOWN OF MARENGO,TOWN OF MARENGO Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,82,125,0,0,0,0,3,0,0,0
ASHLAND ,TOWN OF MORSE,TOWN OF MORSE Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 74,121,183,2,0,0,0,1,0,0,0
ASHLAND ,TOWN OF PEEKSVILLE,TOWN OF PEEKSVILLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,54,50,1,2,0,0,0,0,0,0
ASHLAND ,TOWN OF SANBORN,TOWN OF SANBORN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,68,503,0,1,0,0,3,0,0,1
ASHLAND ,TOWN OF SHANAGOLDEN,TOWN OF SHANAGOLDEN Wards 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,34,39,0,0,0,0,0,0,0,0
ASHLAND ,TOWN OF WHITE RIVER,TOWN OF WHITE RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,266,202,2,2,0,0,3,0,0,0
ASHLAND ,VILLAGE OF BUTTERNUT,VILLAGE OF BUTTERNUT Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,66,108,0,1,0,0,0,0,0,0
BARRON ,CITY OF BARRON,CITY OF BARRON Wards 1-7,Congressional - District 7,State Senate - District 25,Assembly - District 75,648,713,4,11,0,1,3,0,0,0
BARRON ,CITY OF CHETEK,CITY OF CHETEK Wards 1 - 4,Congressional - District 7,State Senate - District 25,Assembly - District 75,471,482,0,11,2,0,3,0,0,1
BARRON ,CITY OF CUMBERLAND,CITY OF CUMBERLAND Wards 1 - 4,Congressional - District 7,State Senate - District 25,Assembly - District 75,439,598,2,5,0,0,5,0,0,1
BARRON ,CITY OF RICE LAKE,CITY OF RICE LAKE Wards 1-13,Congressional - District 7,State Senate - District 25,Assembly - District 75,1854,2091,10,24,1,3,16,15,23,14
BARRON ,TOWN OF ALMENA,TOWN OF ALMENA Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,228,249,0,5,0,0,0,0,0,0
BARRON ,TOWN OF ARLAND,TOWN OF ARLAND WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,149,169,5,1,0,0,1,0,0,0
BARRON ,TOWN OF BARRON,TOWN OF BARRON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,257,142,0,3,0,0,1,0,0,1
BARRON ,TOWN OF BEAR LAKE,TOWN OF BEAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,164,195,0,3,0,0,2,0,0,0
BARRON ,TOWN OF CEDAR LAKE,TOWN OF CEDAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,376,268,0,1,0,0,1,0,0,1
BARRON ,TOWN OF CHETEK,TOWN OF CHETEK Wards 1 - 2,Congressional - District 7,State Senate - District 25,Assembly - District 75,552,477,2,10,0,1,1,0,0,0
BARRON ,TOWN OF CLINTON,TOWN OF CLINTON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,199,149,0,3,0,0,2,0,0,1
BARRON ,TOWN OF CRYSTAL LAKE,TOWN OF CRYSTAL LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,204,195,2,7,0,0,1,0,0,0
BARRON ,TOWN OF CUMBERLAND,TOWN OF CUMBERLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,230,214,2,3,0,0,2,0,0,1
BARRON ,TOWN OF DALLAS,TOWN OF DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,168,118,3,5,0,0,0,0,0,1
BARRON ,TOWN OF DOVRE,TOWN OF DOVRE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,189,185,0,0,0,0,0,0,0,0
BARRON ,TOWN OF DOYLE,TOWN OF DOYLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,174,106,0,4,0,0,0,0,0,0
BARRON ,TOWN OF LAKELAND,TOWN OF LAKELAND Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,297,272,0,5,0,0,1,0,0,0
BARRON ,TOWN OF MAPLE GROVE,TOWN OF MAPLE GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,323,163,1,7,0,0,2,0,0,1
BARRON ,TOWN OF MAPLE PLAIN,TOWN OF MAPLE PLAIN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,239,238,1,2,0,1,0,0,0,0
BARRON ,TOWN OF OAK GROVE,TOWN OF OAK GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,241,255,2,2,0,0,0,0,0,2
BARRON ,TOWN OF PRAIRIE FARM,TOWN OF PRAIRIE FARM Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,124,142,2,2,0,0,0,0,0,3
BARRON ,TOWN OF PRAIRIE LAKE,TOWN OF PRAIRIE LAKE WARDS 1 & 2,Congressional - District 7,State Senate - District 25,Assembly - District 75,481,367,3,8,1,0,0,0,0,1
BARRON ,TOWN OF RICE LAKE,TOWN OF RICE LAKE WARDS 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,843,779,1,11,0,0,4,0,0,3
BARRON ,TOWN OF SIOUX CREEK,TOWN OF SIOUX CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,178,122,0,1,1,0,0,0,0,0
BARRON ,TOWN OF STANFOLD,TOWN OF STANFOLD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,194,177,0,0,0,0,0,0,0,0
BARRON ,TOWN OF STANLEY,TOWN OF STANLEY Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,734,576,1,6,0,0,3,0,0,5
BARRON ,TOWN OF SUMNER,TOWN OF SUMNER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,208,190,0,1,0,0,0,0,0,0
BARRON ,TOWN OF TURTLE LAKE,TOWN OF TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,150,139,1,8,0,0,1,0,0,0
BARRON ,TOWN OF VANCE CREEK,TOWN OF VANCE CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,159,148,0,6,0,0,0,0,0,0
BARRON ,VILLAGE OF ALMENA,VILLAGE OF ALMENA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,147,127,0,2,0,0,0,0,0,0
BARRON ,VILLAGE OF CAMERON,VILLAGE OF CAMERON Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 75,388,363,1,2,0,0,2,0,0,1
BARRON ,VILLAGE OF DALLAS,VILLAGE OF DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,105,83,1,4,0,0,1,0,0,0
BARRON ,VILLAGE OF HAUGEN,VILLAGE OF HAUGEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,65,80,1,2,0,0,1,0,0,0
BARRON ,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN WARD 2,Congressional - District 7,State Senate - District 23,Assembly - District 67,6,1,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN WARD 3,Congressional - District 7,State Senate - District 25,Assembly - District 75,1,1,0,0,0,0,0,0,0,0
BARRON ,VILLAGE OF PRAIRIE FARM,VILLAGE OF PRAIRIE FARM Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,77,103,1,0,0,0,0,0,0,1
BARRON ,VILLAGE OF TURTLE LAKE,VILLAGE OF TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,181,213,1,4,0,0,1,0,0,2
BAYFIELD ,CITY OF ASHLAND,CITY OF ASHLAND Ward 12,Congressional - District 7,State Senate - District 25,Assembly - District 74,0,0,0,0,0,0,0,0,0,0
BAYFIELD ,CITY OF BAYFIELD,CITY OF BAYFIELD Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 74,90,260,0,0,0,0,4,0,0,0
BAYFIELD ,CITY OF WASHBURN,CITY OF WASHBURN Wards 1 - 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,290,878,4,6,0,0,5,0,0,2
BAYFIELD ,TOWN OF BARKSDALE,TOWN OF BARKSDALE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,198,272,2,5,0,0,5,0,0,0
BAYFIELD ,TOWN OF BARNES,TOWN OF BARNES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,253,306,1,4,0,0,3,0,0,0
BAYFIELD ,TOWN OF BAYFIELD,TOWN OF BAYFIELD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,150,372,1,2,0,0,7,0,0,2
BAYFIELD ,TOWN OF BAYVIEW,TOWN OF BAYVIEW WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,138,229,0,1,0,0,0,0,0,0
BAYFIELD ,TOWN OF BELL,TOWN OF BELL WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,82,138,0,0,0,0,6,0,0,0
BAYFIELD ,TOWN OF CABLE,TOWN OF CABLE WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,270,256,1,1,0,0,0,0,0,0
BAYFIELD ,TOWN OF CLOVER,TOWN OF CLOVER WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,70,104,0,4,0,0,1,0,0,0
BAYFIELD ,TOWN OF DELTA,TOWN OF DELTA WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,108,100,0,0,0,0,0,0,0,0
BAYFIELD ,TOWN OF DRUMMOND,TOWN OF DRUMMOND WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,139,182,0,3,0,0,3,0,0,0
BAYFIELD ,TOWN OF EILEEN,TOWN OF EILEEN WARDS 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,170,245,1,0,0,0,3,0,0,1
BAYFIELD ,TOWN OF GRAND VIEW,TOWN OF GRAND VIEW WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,111,178,0,1,0,0,4,0,0,1
BAYFIELD ,TOWN OF HUGHES,TOWN OF HUGHES WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,127,168,0,2,0,0,2,0,0,0
BAYFIELD ,TOWN OF IRON RIVER,TOWN OF IRON RIVER WARDS 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,308,418,2,5,0,1,3,0,0,1
BAYFIELD ,TOWN OF KELLY,TOWN OF KELLY WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,107,141,0,0,0,0,2,0,0,1
BAYFIELD ,TOWN OF KEYSTONE,TOWN OF KEYSTONE WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,87,121,1,2,0,0,0,0,0,1
BAYFIELD ,TOWN OF LINCOLN,TOWN OF LINCOLN WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,77,101,0,0,0,0,2,0,0,1
BAYFIELD ,TOWN OF MASON,TOWN OF MASON WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,84,94,0,1,0,0,0,0,0,0
BAYFIELD ,TOWN OF NAMAKAGON,TOWN OF NAMAKAGON WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,123,97,1,0,0,0,1,0,0,1
BAYFIELD ,TOWN OF ORIENTA,TOWN OF ORIENTA WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,37,42,0,3,0,0,4,0,0,0
BAYFIELD ,TOWN OF OULU,TOWN OF OULU WARD 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,151,177,1,1,0,0,2,0,0,0
BAYFIELD ,TOWN OF PILSEN,TOWN OF PILSEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,52,92,0,2,0,0,0,0,0,0
BAYFIELD ,TOWN OF PORT WING,TOWN OF PORT WING Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,99,173,0,1,0,0,0,0,0,1
BAYFIELD ,TOWN OF RUSSELL,TOWN OF RUSSELL Wards 1 - 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,72,553,0,4,0,0,9,0,0,0
BAYFIELD ,TOWN OF TRIPP,TOWN OF TRIPP Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,73,67,1,3,0,0,0,0,0,0
BAYFIELD ,TOWN OF WASHBURN,TOWN OF WASHBURN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,121,237,1,2,0,0,1,0,0,0
BAYFIELD ,VILLAGE OF MASON,VILLAGE OF MASON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,16,32,0,2,0,0,0,0,0,0
BROWN ,CITY OF DE PERE,CITY OF DE PERE WARD 5,Congressional - District 8,State Senate - District 1,Assembly - District 2,117,116,0,0,0,0,0,0,0,0
BROWN ,CITY OF DE PERE,CITY OF DE PERE WARD 9 & 18,Congressional - District 8,State Senate - District 1,Assembly - District 2,257,224,0,4,0,0,1,0,0,1
BROWN ,CITY OF DE PERE,CITY OF DE PERE WARDS 10-12,Congressional - District 8,State Senate - District 1,Assembly - District 2,1462,1530,6,26,0,0,6,0,0,6
BROWN ,CITY OF DE PERE,CITY OF DE PERE WARDS 13-15,Congressional - District 8,State Senate - District 1,Assembly - District 2,1735,1403,3,26,0,0,6,0,0,7
BROWN ,CITY OF DE PERE,CITY OF DE PERE WARDS 1-4,Congressional - District 8,State Senate - District 30,Assembly - District 88,1846,1729,2,17,1,0,5,0,0,9
BROWN ,CITY OF DE PERE,CITY OF DE PERE WARDS 16-17,Congressional - District 8,State Senate - District 2,Assembly - District 4,3,5,0,0,0,0,0,0,0,0
BROWN ,CITY OF DE PERE,CITY OF DE PERE WARDS 6-8,Congressional - District 8,State Senate - District 30,Assembly - District 88,1255,1308,3,17,0,0,2,0,0,5
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 1,Congressional - District 8,State Senate - District 1,Assembly - District 1,10,3,0,0,0,0,0,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 10,Congressional - District 8,State Senate - District 30,Assembly - District 88,249,452,3,8,0,0,3,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 11,Congressional - District 8,State Senate - District 30,Assembly - District 88,354,387,1,6,0,0,2,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 12,Congressional - District 8,State Senate - District 30,Assembly - District 90,242,488,2,5,0,0,6,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 13,Congressional - District 8,State Senate - District 30,Assembly - District 90,218,504,2,10,0,2,5,0,0,2
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 14,Congressional - District 8,State Senate - District 30,Assembly - District 88,296,455,1,3,0,0,2,0,0,3
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 15,Congressional - District 8,State Senate - District 30,Assembly - District 90,444,725,0,13,1,0,13,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 16,Congressional - District 8,State Senate - District 30,Assembly - District 90,320,649,1,14,0,0,7,0,0,2
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 17,Congressional - District 8,State Senate - District 30,Assembly - District 90,322,562,2,6,0,0,0,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 18,Congressional - District 8,State Senate - District 30,Assembly - District 88,398,518,0,9,0,0,3,0,0,2
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 19,Congressional - District 8,State Senate - District 30,Assembly - District 90,252,417,1,6,1,0,2,0,0,3
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 2,Congressional - District 8,State Senate - District 30,Assembly - District 88,640,550,1,3,0,0,6,0,0,6
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 20,Congressional - District 8,State Senate - District 30,Assembly - District 90,257,529,5,9,1,0,1,0,0,4
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 21,Congressional - District 8,State Senate - District 30,Assembly - District 90,193,489,2,2,1,0,5,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 22,Congressional - District 8,State Senate - District 30,Assembly - District 88,116,223,0,6,0,0,0,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 23,Congressional - District 8,State Senate - District 30,Assembly - District 90,283,454,0,2,0,0,2,0,0,2
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 24,Congressional - District 8,State Senate - District 30,Assembly - District 90,307,615,1,9,1,0,0,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 25,Congressional - District 8,State Senate - District 30,Assembly - District 90,295,553,2,9,0,0,1,0,0,2
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 26,Congressional - District 8,State Senate - District 30,Assembly - District 90,217,557,3,10,0,0,3,0,0,3
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 27,Congressional - District 8,State Senate - District 30,Assembly - District 90,76,303,1,2,0,0,2,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 28,Congressional - District 8,State Senate - District 30,Assembly - District 90,259,617,2,11,0,0,7,0,0,3
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 29,Congressional - District 8,State Senate - District 30,Assembly - District 90,457,694,2,10,1,0,2,0,0,6
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 3,Congressional - District 8,State Senate - District 30,Assembly - District 88,748,1037,4,18,1,1,6,0,0,6
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 30,Congressional - District 8,State Senate - District 30,Assembly - District 90,264,792,5,10,0,0,5,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 31,Congressional - District 8,State Senate - District 30,Assembly - District 90,425,708,2,10,0,2,7,0,0,2
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 32,Congressional - District 8,State Senate - District 30,Assembly - District 90,361,605,4,10,0,0,6,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 33,Congressional - District 8,State Senate - District 30,Assembly - District 90,252,371,0,0,0,0,1,0,0,3
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 34,Congressional - District 8,State Senate - District 2,Assembly - District 4,509,719,4,11,0,0,4,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 35,Congressional - District 8,State Senate - District 2,Assembly - District 4,437,434,0,5,0,0,2,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 36,Congressional - District 8,State Senate - District 30,Assembly - District 90,204,386,0,4,0,0,3,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 37,Congressional - District 8,State Senate - District 30,Assembly - District 90,390,547,1,3,0,0,0,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 38,Congressional - District 8,State Senate - District 30,Assembly - District 90,510,674,1,11,0,0,6,0,0,4
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 39,Congressional - District 8,State Senate - District 30,Assembly - District 90,557,805,5,5,0,2,3,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 4,Congressional - District 8,State Senate - District 30,Assembly - District 88,919,816,3,8,1,0,5,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 40,Congressional - District 8,State Senate - District 30,Assembly - District 90,377,515,2,10,0,0,8,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 41,Congressional - District 8,State Senate - District 2,Assembly - District 4,239,218,2,5,0,1,0,0,0,0
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 42,Congressional - District 8,State Senate - District 30,Assembly - District 90,295,458,0,6,1,0,4,0,0,1
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 43,Congressional - District 8,State Senate - District 2,Assembly - District 4,573,672,0,11,0,0,1,0,0,2
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 44,Congressional - District 8,State Senate - District 2,Assembly - District 4,778,849,3,12,0,0,6,0,0,8
BROWN ,CITY OF GREEN BAY,CITY OF GREEN BAY WARD 45,Congressional - District 8,State Senate - District 2,Assembly - District 4,1173,707,1,10,1,0,2,0,0,1
