"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-ADAMS-WARD-1-2-ADAMS","01002","TOWN-OF-ADAMS-WARD-1-2-ADAMS","TOWN OF ADAMS Wards 1 & 2","ADAMS","TOWN OF ADAMS ADAMS",49.4226327944573,48.0369515011547,2.54041570438799,0.523529411764706,0,0,0.0382022471910112,0,0.00224719101123596,0,0.02,445,850,0.00449438202247191,433,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1438,18965,4.82673267326733,11.5819209039548,92.0027816411683,0.278164116828929,4.65924895688456,49.3741307371349,48.1,2.59,12.8384255135077
"TOWN-OF-BIG-FLATS-WARD-1-ADAMS","01004","TOWN-OF-BIG-FLATS-WARD-1-ADAMS","TOWN OF BIG FLATS Ward 1","ADAMS","TOWN OF BIG FLATS ADAMS",45.045045045045,54.954954954955,0,0.551301684532925,0.886111111111111,0,0.0611111111111111,319,0.0194444444444444,0,0.0352220520673813,360,653,0.00555555555555556,444,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,853,20234,8.73015873015873,6.25,97.5381008206331,0.468933177022274,6.79953106682298,53.9273153575615,58.7,2.27,13.6506409553158
"TOWN-OF-COLBURN-WARD-1-ADAMS","01006","TOWN-OF-COLBURN-WARD-1-ADAMS","TOWN OF COLBURN Ward 1","ADAMS","TOWN OF COLBURN ADAMS",51.5463917525773,45.360824742268,3.09278350515464,0.666666666666667,0.94,0,0.04,94,0,0,0.0266666666666667,100,150,0,97,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,285,20075,1.71428571428571,9.80392156862745,98.2456140350877,0.350877192982456,1.75438596491228,52.280701754386,53.6,2.42,3.06426786135655
"TOWN-OF-DELL-PRAIRIE-WARD-1-2-ADAMS","01008","TOWN-OF-DELL-PRAIRIE-WARD-1-2-ADAMS","TOWN OF DELL PRAIRIE Wards 1 & 2","ADAMS","TOWN OF DELL PRAIRIE ADAMS",54.2471042471042,43.2432432432432,2.50965250965251,0.577900552486188,0,0,0.0669216061185468,0,0,0,0.050828729281768,523,905,0,518,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1617,24790,7.98029556650246,16.2222222222222,94.9907235621521,0.494743351886209,3.58688930117502,50.8967223252938,45.2,2.72,46.4111072909669
"TOWN-OF-EASTON-WARD-1-2-ADAMS","01010","TOWN-OF-EASTON-WARD-1-2-ADAMS","TOWN OF EASTON Wards 1 & 2","ADAMS","TOWN OF EASTON ADAMS",52.7950310559006,45.9627329192547,1.24223602484472,0.592727272727273,0,0,0.0306748466257669,0,0.00613496932515337,0,0.0309090909090909,326,550,0,322,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,993,20561,9.15032679738562,11.3879003558719,96.5760322255791,1.81268882175227,0,53.0715005035247,50.3,2.61,17.3700312049274
"TOWN-OF-JACKSON-WARD-1-ADAMS","01012","TOWN-OF-JACKSON-WARD-1-ADAMS","TOWN OF JACKSON Ward 1","ADAMS","TOWN OF JACKSON ADAMS",53.4146341463415,46.0975609756098,0.48780487804878,0.651757188498403,0,0,0.0686274509803922,0,0.00490196078431373,0,0.0479233226837061,408,626,0.0318627450980392,410,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1189,27590,6.33093525179856,12.6139817629179,93.6080740117746,0,4.70984020185029,48.2758620689655,55.2,2.55,26.5475259157289
"TOWN-OF-LEOLA-WARD-1-ADAMS","01014","TOWN-OF-LEOLA-WARD-1-ADAMS","TOWN OF LEOLA Ward 1","ADAMS","TOWN OF LEOLA ADAMS",78.125,21.875,0,NA,0,0,0.0697674418604651,0,0,0,NA,129,0,0,128,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,324,19373,10.6796116504854,11.2359550561798,95.9876543209877,0,0,58.9506172839506,44.2,2.89,3.35469626681109
"TOWN-OF-LINCOLN-WARD-1-ADAMS","01016","TOWN-OF-LINCOLN-WARD-1-ADAMS","TOWN OF LINCOLN Ward 1","ADAMS","TOWN OF LINCOLN ADAMS",53.9130434782609,45.2173913043478,0.869565217391304,0.593908629441624,0.905982905982906,0,0.0683760683760684,106,0,0,0.0050761421319797,117,197,0,115,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,362,21312,4,14.0243902439024,93.9226519337017,1.65745856353591,1.10497237569061,55.524861878453,51.8,2.7,3.86734924122314
"TOWN-OF-MONROE-WARD-1-ADAMS","01018","TOWN-OF-MONROE-WARD-1-ADAMS","TOWN OF MONROE Ward 1","ADAMS","TOWN OF MONROE ADAMS",49.2227979274611,50.259067357513,0.518134715025907,0.66,0.797979797979798,0,0.0505050505050505,158,0.0151515151515152,0.0606060606060606,0.03,198,300,0,193,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,431,29463,8.94308943089431,15.3846153846154,98.6078886310905,0,0,59.8607888631091,58.8,2.13,4.32475926945851
"TOWN-OF-NEW-CHESTER-WARD-1-2-ADAMS","01020","TOWN-OF-NEW-CHESTER-WARD-1-2-ADAMS","TOWN OF NEW CHESTER Wards 1 & 2","ADAMS","TOWN OF NEW CHESTER ADAMS",47.3309608540925,50.5338078291815,2.13523131672598,0.582,0.405498281786942,0,0.0927835051546392,118,0.00343642611683849,0,0.044,291,500,0.00687285223367698,281,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,2010,15366,9.41619585687382,3.32880434782609,60.1492537313433,27.6119402985075,14.7761194029851,76.5671641791045,37.6,2.57,60.2318510587298
